"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet","DIGIKEY_PART_NUMBER","MANUFACTURER","MANUFACTURER_PART_NUMBER","Description"
"R38,R39","2","330","","","","0402 (1005 Metric)","https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf","P330LCT-ND","Panasonic Industry","ERJ-2RKF3300X","RES SMD 330 OHM 1% 1/10W 0402"
"R40,R41","2","4.75k","","","","0402 (1005 Metric)","https://www.koaspeer.com/pdfs/RK73-RT.pdf","2019-RK73H1ERTTP4751FCT-ND","KOA Speer Electronics, Inc.","RK73H1ERTTP4751F","RES 4.75K OHM 1% 1/10W 0402"
"R42,R43,R44,R45,R177","5","49.9","","","","0402 (1005 Metric)","https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf","P49.9LCT-ND","Panasonic Industry","ERJ-2RKF49R9X","RES SMD 49.9 OHM 1% 1/10W 0402"
"R47,R71","2","33.2k","","","","0402 (1005 Metric)","https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf","P33.2KLCT-ND","Panasonic Industry","ERJ-2RKF3322X","RES SMD 33.2K OHM 1% 1/10W 0402"
"R48","1","50","","","","0603 (1608 Metric)","https://www.vishay.com/docs/20035/dcrcwe3.pdf","541-3318-1-ND","Vishay Dale","CRCW060350R0FKEA","RES SMD 50 OHM 1% 1/8W 0603"
"R49,R136,R228,R229,R230","5","4.99k","","","","0402 (1005 Metric)","https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf","P4.99KLCT-ND","Panasonic Industry","ERJ-2RKF4991X","RES SMD 4.99K OHM 1% 1/10W 0402"
"R59","1","60.4","","","","0402 (1005 Metric)","https://www.koaspeer.com/pdfs/RK73H.pdf","2019-RK73H1ETTP60R4FCT-ND","KOA Speer Electronics, Inc.","RK73H1ETTP60R4F","RES 60.4 OHM 1% 1/10W 0402"
"R60","1","174","","","","0402 (1005 Metric)","https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf","P174LCT-ND","Panasonic Industry","ERJ-2RKF1740X","RES SMD 174 OHM 1% 1/10W 0402"
"R61","1","221","","","","0402 (1005 Metric)","https://www.koaspeer.com/pdfs/RK73H.pdf","2019-RK73H1ETTP2210FCT-ND","KOA Speer Electronics, Inc.","RK73H1ETTP2210F","RES 221 OHM 1% 1/10W 0402"
"R62,R134","2","3.01k","","","","0402 (1005 Metric)","https://www.koaspeer.com/pdfs/RK73H.pdf","2019-RK73H1ETTP3011FCT-ND","KOA Speer Electronics, Inc.","RK73H1ETTP3011F","RES 3.01K OHM 1% 1/10W 0402"
"R64,R66","2","5.1k","","","","0402 (1005 Metric)","https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf","P5.10KLCT-ND","Panasonic Industry","ERJ-2RKF5101X","RES SMD 5.1K OHM 1% 1/10W 0402"
"R67","1","121k","","","","0402 (1005 Metric)","https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf","P121KLCT-ND","Panasonic Industry","ERJ-2RKF1213X","RES SMD 121K OHM 1% 1/10W 0402"
"R70","1","374","","","","0402 (1005 Metric)","https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf","P374LCT-ND","Panasonic Industry","ERJ-2RKF3740X","RES SMD 374 OHM 1% 1/10W 0402"
